Date,Description,Debit,Credit
2024-01-01,NEFT/EMPLOYER PAYROLL SALARY,,75000
2024-01-03,UPI/SWIGGY/ORDER7823,450,
2024-01-04,UPI/UBER/TRIP891,220,
2024-01-06,UPI/AMAZON/ORDER456,1299,
2024-01-08,UPI/NETFLIX/SUBSCRIPTION,799,
2024-01-10,UPI/ZOMATO/ORDER234,380,
2024-01-12,NEFT/HOUSE RENT PAYMENT,22000,
2024-01-13,UPI/AIRTEL/RECHARGE,599,
2024-01-15,UPI/SPOTIFY/SUBSCRIPTION,119,
2024-01-16,UPI/RAHULSHARMA@ybl,1000,
2024-01-18,UPI/SWIGGY/ORDER9012,520,
2024-01-19,UPI/FLIPKART/ORDER789,2499,
2024-01-21,UPI/BIGBASKET/ORDER123,1850,
2024-01-22,UPI/APOLLO/PHARMACY,650,
2024-01-23,UPI/UBER/TRIP456,340,
2024-01-25,UPI/SWIGGY/ORDER3421,280,
2024-01-27,UPI/AMAZON/ORDER789,3299,
2024-01-28,UPI/UDEMY/COURSE,399,
2024-01-29,UPI/ZOMATO/ORDER567,460,
2024-01-30,UPI/RAHULSHARMA@ybl,500,
2024-02-01,NEFT/EMPLOYER PAYROLL SALARY,,77000
2024-02-02,UPI/SWIGGY/ORDER4521,390,
2024-02-04,UPI/UBER/TRIP234,180,
2024-02-06,UPI/NETFLIX/SUBSCRIPTION,799,
2024-02-08,UPI/ZOMATO/ORDER890,510,
2024-02-10,NEFT/HOUSE RENT PAYMENT,22000,
2024-02-11,UPI/AIRTEL/RECHARGE,599,
2024-02-12,UPI/SPOTIFY/SUBSCRIPTION,119,
2024-02-14,UPI/AMAZON/ORDER321,980,
2024-02-15,UPI/SWIGGY/ORDER6782,420,
2024-02-17,UPI/BIGBASKET/ORDER456,1650,
2024-02-19,UPI/UBER/TRIP789,260,
2024-02-20,UPI/FLIPKART/ORDER234,1799,
2024-02-22,UPI/RAHULSHARMA@ybl,1200,
2024-02-24,UPI/SWIGGY/ORDER8901,360,
2024-02-25,UPI/APOLLO/PHARMACY,380,
2024-02-26,UPI/AMAZON/ORDER567,2199,
2024-02-28,UPI/ZOMATO/ORDER123,440,
2024-03-01,NEFT/EMPLOYER PAYROLL SALARY,,76000
2024-03-02,UPI/SWIGGY/ORDER2345,480,
2024-03-04,UPI/UBER/TRIP345,210,
2024-03-06,UPI/NETFLIX/SUBSCRIPTION,799,
2024-03-07,UPI/SPOTIFY/SUBSCRIPTION,119,
2024-03-09,UPI/SWIGGY/ORDER5678,340,
2024-03-10,NEFT/HOUSE RENT PAYMENT,22000,
2024-03-11,UPI/AIRTEL/RECHARGE,599,
2024-03-13,UPI/AMAZON/ORDER890,1599,
2024-03-14,UPI/ZOMATO/ORDER456,490,
2024-03-16,UPI/BIGBASKET/ORDER789,1900,
2024-03-18,UPI/UBER/TRIP012,290,
2024-03-19,UPI/FLIPKART/ORDER567,3499,
2024-03-21,UPI/RAHULSHARMA@ybl,800,
2024-03-22,UPI/SWIGGY/ORDER9012,410,
2024-03-24,UPI/APOLLO/PHARMACY,520,
2024-03-26,UPI/AMAZON/ORDER123,799,
2024-03-27,UPI/UDEMY/COURSE,999,
2024-03-28,UPI/ZOMATO/ORDER789,380,
2024-03-30,UPI/UBER/TRIP678,170,
